Model	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
22	0.512	0.482	0.565	0.370	0.529	0.340	0.362	0.285	0.286	1.772	0.362	0.379	0.265	0.486	1.162	0.402	0.609	0.299	0.552	0.337	0.414	0.000	0.237	0.447	1.490	0.963	0.567	0.460	0.518	0.552	1.480	0.380	0.491	0.391	0.357	0.273
23	0.522	0.458	0.523	0.386	0.522	0.317	0.341	0.358	0.240	1.788	0.371	0.414	0.322	0.520	1.131	0.349	0.537	0.263	0.510	0.376	0.331	0.237	0.000	0.346	1.491	1.029	0.524	0.421	0.471	0.491	1.510	0.372	0.381	0.316	0.345	0.354
24	0.486	0.448	0.502	0.562	0.442	0.423	0.501	0.548	0.419	1.773	0.384	0.453	0.471	0.482	0.985	0.428	0.401	0.480	0.496	0.390	0.311	0.447	0.346	0.000	1.558	1.058	0.485	0.413	0.415	0.401	1.470	0.431	0.441	0.398	0.403	0.558
25	1.500	1.511	1.502	1.485	1.577	1.527	1.469	1.443	1.437	2.070	1.494	1.577	1.429	1.566	2.007	1.566	1.566	1.529	1.526	1.535	1.471	1.490	1.491	1.558	0.000	1.744	1.527	1.503	1.490	1.441	2.018	1.489	1.530	1.506	1.635	1.479
26	1.023	1.049	1.125	1.158	1.119	1.105	1.131	1.059	1.058	1.635	0.919	1.025	0.982	0.876	1.444	1.162	1.166	1.122	1.057	0.981	1.094	0.963	1.029	1.058	1.744	0.000	0.975	1.076	1.055	1.099	1.311	1.111	1.218	1.125	1.065	1.012
27	0.588	0.566	0.522	0.747	0.649	0.665	0.714	0.701	0.571	1.671	0.414	0.626	0.518	0.575	1.138	0.724	0.659	0.707	0.461	0.607	0.618	0.567	0.524	0.485	1.527	0.975	0.000	0.458	0.439	0.462	1.406	0.662	0.700	0.638	0.636	0.678
28	0.580	0.541	0.234	0.614	0.559	0.559	0.623	0.586	0.496	1.740	0.425	0.466	0.445	0.577	1.130	0.582	0.568	0.551	0.265	0.502	0.524	0.460	0.421	0.413	1.503	1.076	0.458	0.000	0.375	0.393	1.471	0.548	0.579	0.495	0.478	0.629
29	0.486	0.510	0.465	0.716	0.519	0.568	0.610	0.592	0.489	1.758	0.413	0.524	0.463	0.560	1.115	0.639	0.504	0.646	0.376	0.486	0.515	0.518	0.471	0.415	1.490	1.055	0.439	0.375	0.000	0.417	1.478	0.593	0.585	0.495	0.534	0.628
30	0.588	0.522	0.425	0.654	0.562	0.596	0.625	0.635	0.504	1.776	0.520	0.571	0.465	0.624	1.112	0.590	0.534	0.626	0.438	0.583	0.477	0.552	0.491	0.401	1.441	1.099	0.462	0.393	0.417	0.000	1.523	0.547	0.554	0.515	0.600	0.666
31	1.410	1.486	1.503	1.620	1.543	1.596	1.601	1.550	1.527	1.701	1.385	1.494	1.495	1.378	1.823	1.599	1.617	1.607	1.470	1.425	1.539	1.480	1.510	1.470	2.018	1.311	1.406	1.471	1.478	1.523	0.000	1.577	1.640	1.587	1.522	1.540
32	0.613	0.572	0.594	0.313	0.479	0.290	0.380	0.455	0.425	1.857	0.524	0.517	0.403	0.559	1.044	0.363	0.514	0.351	0.628	0.472	0.303	0.380	0.372	0.431	1.489	1.111	0.662	0.548	0.593	0.547	1.577	0.000	0.427	0.421	0.462	0.433
33	0.591	0.487	0.626	0.462	0.546	0.372	0.338	0.494	0.341	1.892	0.569	0.557	0.518	0.663	1.165	0.308	0.500	0.411	0.668	0.542	0.376	0.491	0.381	0.441	1.530	1.218	0.700	0.579	0.585	0.554	1.640	0.427	0.000	0.288	0.550	0.503
34	0.537	0.472	0.573	0.491	0.569	0.378	0.362	0.446	0.309	1.859	0.488	0.532	0.447	0.622	1.145	0.358	0.485	0.412	0.578	0.482	0.361	0.391	0.316	0.398	1.506	1.125	0.638	0.495	0.495	0.515	1.587	0.421	0.288	0.000	0.515	0.434
35	0.549	0.519	0.589	0.501	0.412	0.392	0.499	0.465	0.451	1.830	0.426	0.299	0.448	0.474	1.051	0.442	0.553	0.350	0.574	0.311	0.439	0.357	0.345	0.403	1.635	1.065	0.636	0.478	0.534	0.600	1.522	0.462	0.550	0.515	0.000	0.513
36	0.560	0.543	0.727	0.388	0.606	0.343	0.272	0.235	0.307	1.851	0.446	0.486	0.349	0.541	1.179	0.385	0.670	0.378	0.712	0.399	0.449	0.273	0.354	0.558	1.479	1.012	0.678	0.629	0.628	0.666	1.540	0.433	0.503	0.434	0.513	0.000

