9 cavities found for Pan troglodytes.cif #1
Pan troglodytes.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
13.1.11		25.27	35.44	117	1.2	0.44
13.1.3		23.76	44.96	110	0	0
13.1.5		22.03	40.03	102	0	0
13.1.12		15.34	25.81	71	1.7	0.65
13.1.7		13.39	22.21	62	1.2	0.29
13.1.4		12.96	19.77	60	1.2	0.33
13.1.6		12.31	29.54	57	0	0
13.1.10		8.86	19.12	41	1.34	0.63
13.1.9		8.64	18.27	40	1.34	0.55
13.1.2		6.7	11.63	31	0.6	0.14
13.1.1		6.48	13.76	30	0.6	0.12

12 cavities found for Gorilla gorilla gorilla.cif #14
Gorilla gorilla gorilla.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
14.1.7		154.44	170.91	715	0	0
14.1.5		48.17	55.49	223	2.4	0.67
14.1.3		23.76	50.14	110	0	0
14.1.11		23.76	34.54	110	2.4	0.81
14.1.9		21.6	36.01	100	2.55	1.06
14.1.1		19.01	38.34	88	0	0
14.1.2		18.58	29.05	86	1.9	0.65
14.1.6		12.31	29.54	57	0	0
14.1.8		12.31	29.54	57	0	0
14.1.10		8.86	15.42	41	0.85	0.38
14.1.4		7.34	14.63	34	0.6	0.18
14.1.12		6.7	13.25	31	0.6	0.19

8 cavities found for Gulo gulo .cif #15
Gulo gulo .cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
15.1.1		803.09	523.69	3718	9.33	2.63
15.1.4		44.71	50.89	207	1.2	0.22
15.1.3		27.86	38	129	2.16	0.77
15.1.6		17.28	36.68	80	0	0
15.1.7		11.88	27.62	55	2.16	1.18
15.1.8		11.23	19.04	52	1.2	0.27
15.1.5		10.37	21.91	48	0.85	0.28
15.1.2		8.64	16.29	40	1.2	0.38

7 cavities found for Hipposideros armiger.cif #16
Hipposideros armiger.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
16.1.5		180.79	194.43	837	0	0
16.1.7		27	38.16	125	1.99	0.72
16.1.1		22.9	39.3	106	0	0
16.1.3		21.82	40.63	101	0	0
16.1.4		21.82	44.53	101	0.85	0.23
16.1.6		21.82	39.96	101	2.47	1.08
16.1.2		12.31	29.54	57	0	0

8 cavities found for homo_sapiens.cif #17
homo_sapiens.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
17.1.2		170.64	189.01	790	0	0
17.1.6		67.18	82.56	311	1.9	0.57
17.1.7		49.03	62.48	227	1.34	0.41
17.1.3		37.15	61.95	172	0	0
17.1.8		17.28	36.68	80	0	0
17.1.5		16.85	32.3	78	0	0
17.1.4		12.31	29.54	57	0	0
17.1.1		7.13	13.64	33	0.6	0.22

7 cavities found for ictidomys_tridecemlineatus.cif #18
ictidomys_tridecemlineatus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
18.1.4		182.09	204.03	843	0	0
18.1.2		45.79	59.11	212	1.8	0.48
18.1.3		23.11	42.35	107	0	0
18.1.1		22.46	35.7	104	0	0
18.1.5		19.01	28.69	88	1.2	0.31
18.1.7		17.93	28.62	83	1.9	0.57
18.1.6		13.82	26.9	64	0.85	0.21

10 cavities found for Lynx pardinus.cif #19
Lynx pardinus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
19.1.5		160.7	172.75	744	0	0
19.1.6		25.92	42.65	120	1.34	0.38
19.1.10		20.3	32.96	94	1.8	0.52
19.1.2		19.01	38.34	88	0	0
19.1.7		12.31	29.54	57	0	0
19.1.8		12.31	29.54	57	0	0
19.1.9		8.42	17.7	39	1.2	0.42
19.1.1		6.91	11.65	32	0.85	0.29
19.1.4		6.05	14.68	28	0.85	0.39
19.1.3		5.83	10.48	27	0.6	0.18

8 cavities found for Macaca fascicularis.cif #20
Macaca fascicularis.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
20.1.3		173.45	198.2	803	0	0
20.1.8		52.7	67.88	244	1.9	0.58
20.1.7		22.9	39.3	106	0	0
20.1.6		12.31	29.54	57	0	0
20.1.2		8.86	20.26	41	0.85	0.41
20.1.4		7.78	18.22	36	1.04	0.54
20.1.5		6.48	14.07	30	0.6	0.18
20.1.1		5.62	13.26	26	0.6	0.12

6 cavities found for Macaca nemestrina .cif #21
Macaca nemestrina .cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
21.1.4		161.57	171.5	748	0	0
21.1.1		86.4	92.02	400	2.4	0.62
21.1.6		19.44	33.82	90	1.8	0.58
21.1.5		19.01	38.34	88	0	0
21.1.3		17.93	30.55	83	1.2	0.34
21.1.2		16.85	32.3	78	0	0

6 cavities found for marmota_marmota_marmota.cif #22
marmota_marmota_marmota.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
22.1.4		169.99	181.13	787	0	0
22.1.1		72.79	78.12	337	2.24	0.65
22.1.3		46.01	58.24	213	1.9	0.52
22.1.2		17.28	36.68	80	0	0
22.1.5		12.31	29.54	57	0	0
22.1.6		9.72	18.09	45	1.04	0.4

8 cavities found for Marmota monax.cif #23
Marmota monax.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
23.1.4		187.49	196.46	868	0	0
23.1.1		57.24	72.34	265	2.4	0.62
23.1.2		32.4	45.05	150	2.55	0.78
23.1.3		31.32	44.02	145	1.8	0.48
23.1.6		16.85	32.3	78	0	0
23.1.5		12.31	29.54	57	0	0
23.1.7		12.31	29.54	57	0	0
23.1.8		5.62	11.65	26	0.6	0.14

7 cavities found for Molossus molossus.cif #24
Molossus molossus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
24.1.2		160.7	187.97	744	0	0
24.1.1		49.46	62.47	229	3.23	1.35
24.1.7		40.39	53.87	187	3.06	0.95
24.1.5		39.31	43.09	182	2.4	0.79
24.1.4		22.46	32.27	104	1.9	0.53
24.1.3		16.85	32.3	78	0	0
24.1.6		7.78	13.72	36	1.04	0.49

10 cavities found for Neophocaena asiaeorientalis asiaeorientalis.cif #25
Neophocaena asiaeorientalis asiaeorientalis.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
25.1.6		650.16	565.51	3010	16.2	6.87
25.1.10		52.49	70.9	243	0	0
25.1.9		47.74	57.39	221	2.47	0.79
25.1.5		35.21	52.88	163	0	0
25.1.3		28.3	40.59	131	2.47	1.11
25.1.2		23.98	36.11	111	1.7	0.64
25.1.4		21.6	31.17	100	1.8	0.61
25.1.1		17.28	36.68	80	0	0
25.1.7		12.31	29.54	57	0	0
25.1.8		10.37	19.4	48	1.2	0.34

5 cavities found for Nomascus leucogenys.cif #26
Nomascus leucogenys.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
26.1.3		155.3	180.27	719	0	0
26.1.5		18.58	24.89	86	1.34	0.38
26.1.4		17.28	36.68	80	0	0
26.1.1		12.31	29.54	57	0	0
26.1.2		5.18	13.19	24	0.6	0.12

11 cavities found for Orycteropus afer afer.cif #27
Orycteropus afer afer.cif Cavities
